#,Clause/topic,Evidence-based position,Status,Required action
1,Registration and submission dates,25 Aug 2026 11:00 PT to 3 Sep 2026 13:00 PT. [R01],Confirmed by the rules,Register and submit before 21:00 BST; internal target 15:00 BST
2,Age and country eligibility,Entrant must be of majority age and resident in an API-supported country. [R01; R04],Confirmed by the rules,Preserve evidence that UK is listed at submission
3,UK-resident individual,UK appears on the current supported-country list. [R04],Confirmed by the rules,Verify again on 3 Sep
4,"Individual, team and organisation routes",All three routes are permitted subject to eligibility. [R01],Confirmed by the rules,Use the individual route for the declared personal-resource scope; re-check eligibility at submission
5,Representative authorisation,Team/organisation must appoint and authorise a representative. [R01],Confirmed by the rules,Retain written authority
6,"Promotion entities, judges and conflicts",Defined people/entities and real or apparent conflicts may be excluded or disqualified. [R01],Confirmed by the rules,Declare any relevant relationship; no current evidence of a sponsor relationship
7,Public-sector employees and employer-owned work,No public-sector employee exclusion appears; ownership and conflict clauses still apply. [R01; IP01],Cleared for build and publication by Chris Page assurance,Retain the assurance; re-check only if scope or material changes before submission
8,IP ownership,Submission must be original and solely owned; third-party rights must be licensed. [R01],Cleared for build and publication by Chris Page assurance,Retain source-specific notices and rights schedule; final submission warranty remains personal
9,Public repository and open-source requirement,Public GitHub/GitLab/Bitbucket repository and visible detectable open-source licence required. [R01],Confirmed by the rules,Use a standard top-level MIT licence and verify GitHub detection
10,Acceptable open-source licences,Rules require an open-source licence but do not list an approved set. [R01],No evidence found,Use MIT for new code; do not rely on a custom split notice as the top-level licence
11,Third-party SDK/API/data/content rights,Entrant must be authorised under applicable terms. [R01],Confirmed by the rules,Maintain per-component and per-record attribution
12,Crown copyright/OGL,"OGL permits broad reuse with attribution but excludes logos, personal data, unpublished information and third-party rights. [G14]",Confirmed by source licence,Use OGL attribution and inspect exceptions
13,GOV.UK name/logo/trade marks,"Non-GOV.UK service must not use Crown/logotype, GDS Transport, GOV.UK colours or imply official status. [G12; G13]",Confirmed by official guidance,Independent identity; textual source references only
14,Warranties made on submission,"Entrant warrants rights, absence of infringement and absence of malicious code. [R01]",Confirmed by the rules,"Rights review, malware/secret scan, signed checklist"
15,Publicity permissions,Sponsor/administrator may use contributor identity and likeness for promotion. [R01],Submission-time personal confirmation required,Decide whether to accept the publicity terms when submitting; no build or publication block is asserted
16,Sponsor use of entry,Entrant keeps IP; sponsor receives a non-exclusive judging licence and publicity rights. [R01],Confirmed by the rules,Confirm entrant has power to grant those rights
17,Judging/disqualification,"Sponsor controls eligibility/methodology; conflicts, rule breaches and non-viability can disqualify. [R01]",Confirmed by the rules,Make boundaries and compliance evidence easy to inspect
18,"Prizes, tax and acceptance",Winners bear fees/taxes; forms may be required; prizes go to entrant/representative/organisation. [R01],Confirmed by the rules,Review prize-acceptance route and tax position only if selected or accepting a prize
19,Employer gifts/outside interests,Rules do not resolve employer policy; Civil Service frameworks require declaration/management of conflicts and benefits. [C01–C04],Submission-time and prize-acceptance check remains,Chris Page assurance clears current build/publication scope; revisit only for submission publicity or prize acceptance
20,Export controls/sanctions/territories,Rules exclude unsupported or sanctioned places and local-law prohibitions. [R01],Confirmed by the rules,UK currently appears eligible; avoid restricted collaborators/assets
21,Privacy and personal data,Devpost/OpenAI process account and entry data; entrant must avoid privacy-right infringement. [R01],Confirmed by the rules,Use only necessary account data; publish no official/personal data
22,Platform accounts,"Devpost registration, repository and YouTube are required in practice; hosting and OpenAI/Chrome access are needed for testing. [R01]",Confirmed by the rules,Verify account ownership and public visibility
23,Live deployment/credentials,A working live URL must remain free and accessible through judging; private sites need credentials. [R01],Confirmed by the rules,Prefer public no-auth static site; monitor through 21 Sep
24,"Repository, video and description","Full runnable source, visible licence, English description and public YouTube demo under 3 minutes are required. [R01]",Confirmed by the rules,Complete evidence by 2 Sep
25,Copyrighted media/logos/trade marks,"Video cannot contain unlicensed trade marks, music or material. [R01]",Confirmed by the rules,Record only own UI; no music; avoid third-party logos
26,Pre-existing projects,Permitted only with a material post-start WebMCP extension and clear dated separation. [R01],Confirmed by the rules,"Baseline tag, compare report, challenge changelog"
27,Meaning of meaningful extension,No quantitative threshold; judges assess non-trivial WebMCP leverage and only new work. [R01],Likely but requires verification,"Show five working tools: three read-only queries and two reversible presentation tools; manual parity; tests; before/after demo"
28,Work-creation period,"New work must be within submission period; pre-existing work is context, not judged work. [R01]",Confirmed by the rules,Keep post-start commit set clean and described
29,Prior commits/data/schemas/UI in repo,"Rules do not forbid them, but require distinction and licence compliance. [R01]",Likely but requires verification,Retain baseline evidence; mark imported pre-existing assets
30,Rule preventing Chris from entering personally,"No automatic exclusion was found. Chris Page has expressly assured sole personal-resource ownership and no outside interests for this scope; rules publicity and prize terms still apply at submission. [R01; IP01; C01]",Cleared for build and publication; submission gate remains,Personally confirm current eligibility publicity prize and warranty terms immediately before submission
